,Timestamp,Train ID,Scheduled,Actual time,Delay,Station,Dep/Arr,Category,Delay at Dep.,Trip time,Sched. trip time,12h Coldest Arrival,12h Rain max Arrival,12h Rain total Arrival,12h Snow depth Arrival,12h Coldest Dep,12h Rain max Dep,12h Rain total Dep,12h Snow depth Dep
482,2018-02-07 08:06:17,150,07:54:00,08:06:17,737,HKI,ARRIVAL,Long-distance,26,03:39:33,03:36:00,-7.4,0.4,2.2,18.0,-12.9,0.4,2.7000000000000006,61.0
483,2018-02-07 21:47:00,634,21:28:00,21:47:00,1140,HKI,ARRIVAL,Long-distance,255,04:02:45,03:48:00,-7.2,0.4,0.8,20.0,-14.5,0.4,0.8,61.0
484,2018-02-08 16:39:45,86,16:35:00,16:39:45,285,HKI,ARRIVAL,Long-distance,27,03:53:24,03:34:00,-2.1,0.5,0.6,18.0,-12.0,0.5,0.6,60.0
485,2018-02-08 09:25:31,140,08:54:00,09:25:31,1891,HKI,ARRIVAL,Long-distance,1839,03:34:52,03:34:00,-8.8,0.5,0.5,19.0,-16.6,0.5,0.5,60.0
486,2018-02-08 11:54:07,142,11:54:00,11:54:07,7,HKI,ARRIVAL,Long-distance,154,03:36:33,03:39:00,-8.8,0.5,0.5,19.0,-16.0,0.5,0.5,60.0
487,2018-02-08 15:02:54,144,14:54:00,15:02:54,534,HKI,ARRIVAL,Long-distance,349,03:44:05,03:41:00,-2.1,0.5,0.6,18.0,-13.1,0.5,0.6,60.0
488,2018-02-08 18:59:41,146,17:54:00,18:59:41,3941,HKI,ARRIVAL,Long-distance,2,03:21:18,03:17:00,-3.0,0.1,0.2,18.0,-10.9,0.1,0.2,60.0
489,2018-02-08 20:54:16,148,20:54:00,20:54:16,16,HKI,ARRIVAL,Long-distance,-24,04:36:39,03:31:00,-4.4,0.1,0.2,18.0,-8.3,0.1,0.2,59.0
490,2018-02-08 08:14:04,150,07:54:00,08:14:04,1204,HKI,ARRIVAL,Long-distance,40,03:36:40,03:36:00,-8.8,0.5,0.5,19.0,-16.6,0.5,0.5,61.0
491,2018-02-09 16:45:55,86,16:35:00,16:45:55,655,HKI,ARRIVAL,Long-distance,13,03:34:32,03:34:00,-7.1,0.0,0.0,19.0,-7.1,0.0,0.0,58.0
492,2018-02-09 19:37:00,88,19:35:00,19:37:00,120,HKI,ARRIVAL,Long-distance,22,03:42:28,03:34:00,-6.7,0.0,0.0,18.0,-7.8,0.0,0.0,58.0
493,2018-02-09 09:08:28,140,08:54:00,09:08:28,868,HKI,ARRIVAL,Long-distance,360,03:38:19,03:39:00,-7.1,0.0,0.0,20.0,-7.1,0.0,0.0,59.0
494,2018-02-09 11:54:13,142,11:54:00,11:54:13,13,HKI,ARRIVAL,Long-distance,54,03:42:33,03:41:00,-7.1,0.0,0.0,20.0,-7.1,0.0,0.0,59.0
495,2018-02-09 14:55:41,144,14:54:00,14:55:41,101,HKI,ARRIVAL,Long-distance,8,03:27:42,03:17:00,-7.1,0.0,0.0,20.0,-7.1,0.0,0.0,59.0
496,2018-02-09 18:02:00,146,17:54:00,18:02:00,480,HKI,ARRIVAL,Long-distance,13,03:38:47,03:31:00,-6.9,0.0,0.0,18.0,-7.7,0.0,0.0,58.0
497,2018-02-09 21:01:47,148,20:54:00,21:01:47,467,HKI,ARRIVAL,Long-distance,74,03:23:38,03:22:00,-6.2,0.0,0.0,17.0,-7.9,0.0,0.0,58.0
498,2018-02-09 07:54:51,150,07:54:00,07:54:51,51,HKI,ARRIVAL,Long-distance,19,03:42:33,03:36:00,-7.1,0.0,0.0,20.0,-7.1,0.0,0.0,59.0
499,2018-02-10 16:34:41,84,16:35:00,16:34:41,-19,HKI,ARRIVAL,Long-distance,-2,03:40:24,03:34:00,-7.2,0.0,0.0,17.0,-7.2,0.0,0.0,57.0
500,2018-02-10 08:55:33,140,08:54:00,08:55:33,93,HKI,ARRIVAL,Long-distance,118,03:33:35,03:34:00,-5.0,0.0,0.0,17.0,-7.9,0.0,0.0,57.0
501,2018-02-10 11:56:03,142,11:54:00,11:56:03,123,HKI,ARRIVAL,Long-distance,-5,03:41:08,03:39:00,-5.0,0.0,0.0,17.0,-7.8,0.0,0.0,57.0
502,2018-02-10 14:54:01,144,14:54:00,14:54:01,1,HKI,ARRIVAL,Long-distance,43,03:40:18,03:41:00,-6.0,0.0,0.0,17.0,-7.5,0.0,0.0,57.0
503,2018-02-10 17:56:23,146,17:54:00,17:56:23,143,HKI,ARRIVAL,Long-distance,2,03:16:43,03:17:00,-7.5,0.0,0.0,17.0,-7.5,0.0,0.0,57.0
504,2018-02-10 20:54:01,148,20:54:00,20:54:01,1,HKI,ARRIVAL,Long-distance,5,03:33:21,03:31:00,-8.2,0.0,0.0,16.0,-8.2,0.0,0.0,57.0
505,2018-02-10 08:00:35,150,07:54:00,08:00:35,395,HKI,ARRIVAL,Long-distance,11,03:35:56,03:36:00,-5.0,0.0,0.0,17.0,-7.9,0.0,0.0,57.0
506,2018-02-11 16:35:23,86,16:35:00,16:35:23,23,HKI,ARRIVAL,Long-distance,16,03:42:26,03:39:00,-4.7,0.1,0.6,17.0,-7.8,0.1,0.7,58.0
507,2018-02-11 19:44:03,88,19:35:00,19:44:03,543,HKI,ARRIVAL,Long-distance,16,03:45:13,03:41:00,-3.8,0.1,0.5,17.0,-7.6,0.1,0.5,58.0
